data	close
09-02-2012	4.78
08-31-2012	4.7
08-31-2012	4.93
08-31-2012	4.88
08-30-2012	4.5
08-27-2012	4.48
08-27-2012	4.45
08-25-2012	4.7
08-23-2012	4.7
08-23-2012	5.0
08-22-2012	4.9
08-22-2012	4.9
08-21-2012	4.53
08-14-2012	4.55
08-14-2012	5.0
08-13-2012	4.73
08-07-2012	4.98
08-06-2012	4.48
08-05-2012	4.4
08-04-2012	3.0
08-02-2012	5.0
08-02-2012	4.75
08-02-2012	4.95
08-01-2012	4.7
07-31-2012	4.58
07-29-2012	5.0
07-29-2012	3.8
07-29-2012	4.98
07-29-2012	4.98
07-29-2012	4.85
07-28-2012	4.43
07-25-2012	4.68
07-25-2012	4.0
07-23-2012	4.93
07-20-2012	5.0
07-19-2012	4.88
07-17-2012	4.95
07-15-2012	5.0
07-11-2012	4.28
07-10-2012	5.0
07-10-2012	4.53
07-08-2012	4.38
07-07-2012	5.0
07-07-2012	4.53
07-04-2012	4.58
07-03-2012	4.23
07-02-2012	5.0
07-01-2012	5.0
06-30-2012	4.43
06-29-2012	5.0
06-29-2012	4.93
06-28-2012	4.95
06-28-2012	4.9
06-27-2012	4.75
06-26-2012	4.9
06-24-2012	4.53
06-24-2012	4.98
01-09-2012	4.58
06-22-2012	4.99
06-22-2012	4.64
06-21-2012	4.48
06-20-2012	4.38
06-19-2012	4.8
06-19-2012	4.98
06-19-2012	4.88
06-19-2012	4.7
06-16-2012	4.6
06-16-2012	4.88
06-15-2012	4.98
06-14-2012	4.5
06-14-2012	5.0
06-11-2012	4.78
06-10-2012	4.98
06-10-2012	4.83
06-09-2012	3.4
06-09-2012	4.98
06-09-2012	4.43
06-09-2012	4.88
06-08-2012	4.4
06-07-2012	4.78
06-07-2012	4.88
06-06-2012	4.98
06-06-2012	4.58
06-06-2012	4.7
06-06-2012	5.0
06-06-2012	4.88
06-05-2012	5.0
06-02-2012	4.68
06-01-2012	3.85
06-01-2012	4.51
05-31-2012	4.4
05-31-2012	4.5
05-30-2012	4.68
05-29-2012	4.25
05-29-2012	4.6
05-29-2012	4.85
05-26-2012	4.96
05-25-2012	4.98
05-25-2012	4.48
05-23-2012	4.78
05-23-2012	4.53
05-23-2012	4.23
05-22-2012	4.93
05-22-2012	4.59
05-22-2012	4.38
05-21-2012	4.58
05-21-2012	4.4
05-20-2012	4.9
05-20-2012	4.8
05-20-2012	5.0
05-19-2012	4.9
05-18-2012	4.9
05-17-2012	4.58
05-16-2012	4.63
05-15-2012	4.73
05-15-2012	4.55
05-14-2012	4.5
05-12-2012	4.73
05-12-2012	4.43
05-11-2012	4.95
05-09-2012	4.88
05-09-2012	4.33
05-09-2012	4.55
05-09-2012	4.58
05-09-2012	4.28
05-08-2012	3.53
05-08-2012	4.95
05-08-2012	4.7
05-06-2012	4.5
05-06-2012	4.78
05-05-2012	4.8
05-05-2012	4.16
05-04-2012	4.8
05-04-2012	4.73
05-04-2012	3.93
05-02-2012	4.75
05-02-2012	3.9
05-02-2012	4.0
05-02-2012	4.03
05-02-2012	4.73
05-01-2012	4.95
05-01-2012	4.85
05-01-2012	4.45
04-30-2012	4.9
04-29-2012	3.85
04-29-2012	4.98
04-29-2012	4.48
04-29-2012	4.55
04-28-2012	4.45
04-28-2012	4.78
04-27-2012	4.9
04-27-2012	4.9
04-27-2012	4.5
04-26-2012	4.75
04-26-2012	4.95
04-25-2012	4.88
04-25-2012	4.93
04-24-2012	5.0
04-24-2012	4.68
04-23-2012	4.95
04-23-2012	4.88
04-22-2012	4.8
04-22-2012	4.78
04-22-2012	4.05
04-22-2012	4.7
04-22-2012	4.5
04-21-2012	4.85
04-21-2012	4.48
04-20-2012	4.68
04-20-2012	4.63
04-20-2012	4.03
04-19-2012	4.93
04-19-2012	4.85
04-19-2012	4.43
04-19-2012	4.68
04-18-2012	4.93
04-17-2012	4.43
04-17-2012	4.85
04-13-2012	4.73
04-13-2012	4.63
04-13-2012	4.7
04-13-2012	4.7
04-13-2012	4.93
04-12-2012	4.6
04-12-2012	4.33
04-12-2012	4.58
04-11-2012	4.5
04-10-2012	5.0
04-10-2012	4.21
04-10-2012	4.9
04-10-2012	4.78
04-09-2012	4.9
04-07-2012	4.49
04-06-2012	4.15
04-06-2012	4.91
04-05-2012	4.0
04-05-2012	4.25
04-05-2012	4.43
04-05-2012	4.5
04-03-2012	4.95
03-31-2012	4.9
03-31-2012	4.48
03-30-2012	4.78
03-29-2012	4.2
03-29-2012	4.58
03-28-2012	4.93
03-27-2012	4.54
03-27-2012	4.68
03-26-2012	3.98
03-25-2012	4.98
03-24-2012	5.0
03-24-2012	4.88
03-23-2012	4.6
03-22-2012	4.85
03-22-2012	4.8
03-22-2012	4.0
03-22-2012	4.85
03-21-2012	4.08
03-21-2012	4.95
03-21-2012	4.43
03-21-2012	4.7
03-19-2012	4.75
03-19-2012	4.75
03-19-2012	4.83
03-18-2012	4.85
03-18-2012	4.08
03-18-2012	4.38
03-16-2012	4.9
03-15-2012	4.74
03-15-2012	4.48
03-15-2012	4.65
03-14-2012	4.9
03-12-2012	4.63
03-11-2012	4.93
03-11-2012	4.8
03-10-2012	3.98
03-09-2012	4.55
03-09-2012	4.93
03-09-2012	4.9
03-07-2012	5.0
03-07-2012	4.48
03-05-2012	4.43
03-04-2012	4.6
03-04-2012	5.0
03-03-2012	4.8
03-03-2012	4.85
03-02-2012	4.99
03-01-2012	4.6
02-29-2012	4.83
02-29-2012	4.73
02-28-2012	4.5
02-28-2012	4.23
02-28-2012	4.8
02-25-2012	4.93
02-25-2012	4.45
02-25-2012	4.48
02-24-2012	4.95
02-24-2012	4.85
02-22-2012	4.7
02-22-2012	4.88
02-22-2012	5.0
02-22-2012	4.58
02-21-2012	4.9
02-21-2012	4.85
02-20-2012	4.68
02-20-2012	4.7
02-20-2012	4.65
02-20-2012	2.88
02-20-2012	4.98
02-18-2012	4.9
02-18-2012	4.85
02-18-2012	4.43
02-17-2012	4.88
02-17-2012	4.48
02-16-2012	5.0
02-15-2012	4.73
02-13-2012	4.7
02-13-2012	4.28
02-13-2012	4.95
02-13-2012	4.4
02-12-2012	4.8
02-11-2012	4.83
02-11-2012	4.65
02-10-2012	4.58
02-10-2012	4.0
02-09-2012	4.64
02-09-2012	4.48
02-09-2012	4.95
02-08-2012	4.97
02-08-2012	4.55
02-07-2012	4.3
02-07-2012	4.97
02-06-2012	4.6
02-06-2012	4.28
02-06-2012	4.73
02-05-2012	4.85
02-05-2012	4.72
02-05-2012	5.0
02-05-2012	4.95
02-04-2012	4.6
02-04-2012	4.43
02-02-2012	4.88
02-02-2012	4.33
02-02-2012	4.68
02-01-2012	4.68
01-31-2012	4.97
01-30-2012	4.88
01-29-2012	4.95
01-29-2012	5.0
01-28-2012	4.58
01-28-2012	4.75
01-28-2012	4.83
01-27-2012	4.72
01-26-2012	4.97
01-25-2012	4.47
01-25-2012	4.9
01-24-2012	4.97
01-24-2012	4.97
01-23-2012	4.4
01-22-2012	4.47
01-21-2012	4.93
01-21-2012	4.78
01-20-2012	4.47
01-19-2012	4.88
01-19-2012	4.75
01-19-2012	4.9
01-18-2012	4.7
01-17-2012	4.45
01-17-2012	4.7
01-16-2012	4.6
01-15-2012	4.33
01-14-2012	4.97
01-14-2012	4.7
01-14-2012	4.69
01-14-2012	4.83
01-11-2012	4.83
01-10-2012	3.78
01-09-2012	4.88
01-09-2012	4.58
01-08-2012	4.98
01-08-2012	4.6
01-07-2012	4.83
01-04-2012	5.0
01-03-2012	4.97
01-02-2012	4.58
01-01-2012	4.6
01-01-2012	4.83
12-31-2011	4.78
12-30-2011	4.53
12-30-2011	4.8
12-29-2011	4.95
12-29-2011	4.85
12-27-2011	4.3
12-27-2011	4.22
12-26-2011	4.68
12-25-2011	4.7
12-24-2011	4.7
12-24-2011	4.93
12-24-2011	4.7
12-23-2011	4.8
12-23-2011	4.1
12-22-2011	4.83
12-21-2011	4.65
12-20-2011	4.13
12-20-2011	5.0
12-19-2011	4.47
12-17-2011	5.0
12-16-2011	4.43
12-16-2011	4.83
12-15-2011	4.8
12-14-2011	4.93
12-12-2011	4.88
12-11-2011	4.85
12-11-2011	4.58
12-11-2011	3.8
12-08-2011	4.63
12-08-2011	4.8
12-08-2011	4.9
12-07-2011	4.99
12-07-2011	4.35
12-06-2011	4.68
12-05-2011	4.6
12-05-2011	4.8
12-04-2011	4.88
12-04-2011	4.66
12-04-2011	4.97
12-03-2011	4.58
12-01-2011	4.83
11-30-2011	4.9
11-30-2011	4.9
11-29-2011	4.47
11-28-2011	4.95
11-28-2011	4.97
11-27-2011	3.63
11-27-2011	4.9
11-26-2011	4.63
11-26-2011	4.6
11-26-2011	4.9
11-24-2011	4.47
11-24-2011	4.4
11-23-2011	4.43
11-21-2011	4.97
11-20-2011	4.63
11-20-2011	4.43
11-20-2011	4.43
11-19-2011	3.9
11-17-2011	4.88
11-16-2011	4.1
11-16-2011	4.47
11-16-2011	4.15
11-16-2011	4.8
11-15-2011	4.68
11-15-2011	4.95
11-15-2011	4.7
11-14-2011	4.85
11-14-2011	4.9
11-14-2011	4.58
11-13-2011	4.5
11-13-2011	4.75
11-12-2011	4.6
11-11-2011	4.85
11-11-2011	4.9
11-11-2011	4.75
11-11-2011	4.47
11-10-2011	4.65
11-10-2011	4.43
11-10-2011	4.5
11-10-2011	4.83
11-10-2011	4.8
11-10-2011	4.93
11-09-2011	4.68
11-09-2011	4.65
11-09-2011	4.78
11-09-2011	4.53
11-08-2011	4.58
11-07-2011	4.4
11-06-2011	4.5
11-06-2011	4.85
11-06-2011	4.38
11-06-2011	4.6
11-05-2011	4.7
11-05-2011	4.68
11-05-2011	4.63
11-04-2011	4.8
11-03-2011	4.7
11-03-2011	4.6
11-02-2011	4.47
11-02-2011	4.43
11-01-2011	4.43
11-01-2011	3.8
10-31-2011	4.83
10-30-2011	4.15
10-30-2011	4.75
10-30-2011	4.9
10-29-2011	4.45
10-29-2011	4.95
10-29-2011	4.63
10-29-2011	4.55
10-28-2011	5.0
10-28-2011	4.53
10-28-2011	4.43
10-27-2011	4.93
10-27-2011	4.53
10-27-2011	4.15
10-26-2011	4.95
10-26-2011	4.43
10-26-2011	4.72
10-26-2011	4.47
10-26-2011	4.63
10-26-2011	4.93
10-25-2011	4.7
10-25-2011	4.5
10-24-2011	4.78
10-24-2011	4.65
10-23-2011	4.65
10-23-2011	4.53
